variable,mean,median
Text Type,0.7496969696969698,0.8
Institution Type,0.8690909090909091,1.0
Rule/Norm/Strategy,0.43272727272727274,0.5
Level of Analysis,0.34545454545454546,0.4
Attribute_lo,0.8575757575757575,1.0
Attribute_hi,0.8575757575757575,1.0
Attribute_position,2.8191649259159375,2.0
Deontic_lo,0.8478787878787879,1.0
Deontic_hi,0.8563636363636363,1.0
Deontic_position,2.817769206035369,2.0
aIm_lo,0.8539393939393939,1.0
aIm_hi,0.8672727272727273,1.0
aIm_position,2.719927303625027,1.6666666666666667
oBject_lo,0.8666666666666667,1.0
oBject_hi,0.8793939393939394,1.0
oBject_position,2.681957391647938,1.75
Or Else_lo,0.7272727272727273,0.8
Or Else_hi,0.926060606060606,1.0
Or Else_position,2.8195363677044916,2.0
Condition_lo,0.933939393939394,1.0
Condition_hi,0.9436363636363636,1.0
Condition_position,2.792155152393827,2.0
